Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
210,25.797598055265077,12.255130488165317,23.31002627766085,14.401452653731274,27.479748011353564
211,25.865308000088568,12.256784219492369,23.397818139058437,14.407560826877134,27.48044343353002
212,25.900701972643503,12.258437950819419,23.484410537184107,14.408564280343498,27.48310061832343
213,26.004965801592476,12.28843105531179,23.576631926431,14.415162203143069,27.49810827410884
214,26.06907354831082,12.289126477488246,23.576631926431,14.433496449583155,27.51614500840817
215,26.153611638652524,12.289821899664702,23.577590235581592,14.45323121622531,27.688194697313538
216,26.181194738915526,12.32273587946668,23.626564451830152,14.474352379610995,27.75681068096036
217,26.232654694357755,12.335579251891028,23.627522760980746,14.476314142227954,27.856096410290252
218,26.34271168578498,12.378007732972614,23.64796552816657,14.502439782087865,27.857795285933072
219,26.441062893039344,12.390929228443294,23.648923837317163,14.510201686560777,27.860452470726482
220,26.53316651375722,12.396523697776502,23.64988214646776,14.517401112068493,27.863109655519896
221,26.53316651375722,12.418620196289373,23.677479194845528,14.538030689086773,27.89341079130217
222,26.53316651375722,12.454720897121291,23.678437503996125,14.565064033047383,27.89510966694499
223,26.625001896173984,12.46968340859093,23.67939581314672,14.611625094068334,27.89510966694499
224,26.73690979085942,12.46968340859093,23.68009123532318,14.622892858211964,27.895805089121446
225,26.797409115680182,12.470641717741525,23.681049544473773,14.643373423688772,27.89750396476426
226,26.889512736398057,12.483563213212207,23.68200785362437,14.674197789523811,27.900161149557675
227,26.92124170907241,12.51166853715861,23.771494964509657,14.69082211556417,28.004783029584484
228,27.100651802053164,12.523458978533165,23.772453273660254,14.705857223249245,28.050067706828486
229,27.100651802053164,12.53555745119763,23.782383661665833,14.736330744129706,28.0527248916219
230,27.100651802053164,12.541151920530835,23.79460973496006,14.750872992196875,28.063350701803934
231,27.100651802053164,12.546746389864042,23.795568044110656,14.764102518957467,28.168323712283115
232,27.20156946411683,12.551645437020792,23.80263452640711,14.795099076916205,28.175879944233277
233,27.37102509221007,12.551645437020792,23.803592835557705,14.801651855400006,28.19158302219514
234,27.38568765563347,12.570891537783272,23.850374354549732,14.836653824749238,28.199432725563536
235,27.38568765563347,12.576748894090619,23.869057434055634,14.870311431622563,28.220608713216798
236,27.477283183303246,12.576748894090619,23.88259622865644,14.877377913919016,28.22946187005156
237,27.55912670805053,12.577752347556983,23.993602541427123,14.899474412431891,28.250592713389047
238,27.651230328768406,12.578755801023345,24.01504876207931,14.912223162957044,28.257396308711357
239,27.652188637919,12.610273119395817,24.016007071229904,14.927052598119374,28.30102548381844
240,27.90841545332995,12.611276572862181,24.0169653803805,14.928751473762196,28.30172090599489
241,28.011689588166313,12.612280026328545,24.045006166665964,14.98687082268145,28.30341978163771
242,28.30624702311327,12.632529580557387,24.046009620132327,14.989528007474869,28.321433539852375
243,28.401094629642124,12.679143889841642,24.053076102428783,15.00218895910453,28.32409072464579
244,28.401094629642124,12.703064632238299,24.088118429732127,15.011811315820202,28.388161633181255
245,28.401094629642124,12.729219761682558,24.103080941201767,15.019573220293115,28.40617539139592
246,28.471398348401816,12.741523906869764,24.104039250352365,15.039134830873262,28.407829122722966
247,28.690455084567652,12.851805005333059,24.10499755950296,15.045995640646973,28.414632718045276
248,28.690455084567652,12.925759467946204,24.15288329821909,15.04865282544039,28.41532814022173
249,28.690455084567652,12.925759467946204,24.154845060836053,15.076056660861184,28.41702701586455
250,28.815146001531236,12.925759467946204,24.19119734254159,15.077755536504005,28.41898877848151
251,28.845611296292738,12.925759467946204,24.19119734254159,15.101337663166657,28.425541556965307
252,28.937877701106583,12.930658515102953,24.19119734254159,15.103994847960076,28.425541556965307
253,28.970156274322004,12.944484496798918,24.26506461386806,15.117747051951593,28.432345152287617
254,28.970156274322004,12.944484496798918,24.293237649169757,15.169997568493073,28.434044027930433
255,29.061751801991782,12.958488699117964,24.29419595832035,15.191610457223035,28.452057786145097
256,29.061751801991782,12.958488699117964,24.32353878495204,15.237627698132567,28.45471497093851
257,29.200419909383083,12.963387746274714,24.351503690550356,15.244225620932138,28.457372155731925
258,29.260113691987563,12.988712534640689,24.363807835737568,15.245879352259191,28.45907103137474
259,29.260113691987563,13.019041799480892,24.384243256898607,15.25343558420936,28.51787780714031
260,29.26501273914431,13.024944300104005,24.3852015660492,15.27387835139518,28.546156329579766
261,29.28202304389261,13.031805109877714,24.386159875199798,15.2946165715037,28.547810060906812
262,29.371520488416223,13.036704157034464,24.38781360652685,15.295574880654296,28.548505483083268
263,29.411650855777925,13.047971921178094,24.388771915677445,15.296270302830754,28.572582270128017
264,29.411650855777925,13.049933683795055,24.388771915677445,15.318404599634615,28.579385865450327
265,29.411650855777925,13.052590868588473,24.389730224828043,15.321061784428034,28.58627725966813
266,29.687279840869543,13.070890489861942,24.39068853397864,15.322760660070855,28.587976135310946
267,29.839250845933414,13.084429284462747,24.392650296595598,15.324722422687817,28.589629866637996
268,29.97963547203819,13.084429284462747,24.393608605746195,15.337984877025622,28.592287051431406
269,30.071230999707968,13.094773084820977,24.393608605746195,15.350210950319848,28.593940782758455
270,30.163497404521813,13.102622788189382,24.393608605746195,15.357071760093557,28.595639658401275
271,30.163497404521813,13.183518063766112,24.393608605746195,15.381878318837995,28.59733853404409
272,30.320704146122914,13.299278177376141,24.393608605746195,15.400561398343896,28.59903740968691
273,30.394502625208418,13.307127880744545,24.393608605746195,15.402523160960857,28.60073628532973
274,30.400610798354272,13.326167225210245,24.465887738628364,15.409383970734567,28.606844458475585
275,30.493694433092372,13.384885057161899,24.46684604777896,15.414978440067774,28.60753988065204
276,30.596024753700828,13.396938385510595,24.472703404086307,15.43270321042308,28.608235302828497
