Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
230,32.331057081445394,63.33406718790811,75.66692902753931
231,32.44763583440643,63.42152428119677,75.94436231224032
232,32.53717373677933,63.56023146327688,76.25772472629583
233,32.70698775792321,63.79914657921635,76.44249789019212
234,32.81510901029957,63.97745036499381,76.77341450761968
235,32.88332779086631,64.09938245467423,77.09692459541195
236,32.9453818740906,64.29946831216394,77.54350872060436
237,33.04647004310762,64.3666161227016,77.81350865397641
238,33.24060016332591,64.4918348903912,78.15097336864736
239,33.309479312053796,64.58635760447494,78.34666876214784
240,33.34187805141039,64.67887604961845,78.67345567922997
241,33.446117566559074,64.80337336825826,79.00132097438541
242,33.508705705359,64.87963758655725,79.23603537757138
243,33.68738894403416,64.97684103083931,79.45571538953372
244,33.77826251699742,65.16395673733976,79.77253701907158
245,33.90739721509878,65.24556349496251,80.09955331399037
246,34.089360267380556,65.35293353473035,80.4917829447011
247,34.12175900673715,65.59533073694816,80.86493746894146
248,34.18501732699734,65.81603325009901,81.19408379993762
249,34.29061666611263,65.86370792443242,81.51623562687277
250,34.38525510911775,66.00113203676966,81.87579679194396
251,34.447158808866554,66.08136955030702,82.09207642577019
252,34.479557548223156,66.14306697417152,82.44075709882779
253,34.63276885959202,66.19792509901099,82.74650626429367
254,34.72363948713515,66.2950857350896,83.00368439060716
255,34.772006417527635,66.43078991031834,83.31591525050281
256,34.892608057472124,66.54175537469779,83.44168669127897
257,35.02901769302176,66.6567746126086,83.76496504876019
258,35.14126193384,66.77781630931518,83.95427546503373
259,35.192163496746105,67.0017192398154,84.17351167265723
260,35.2245622361027,67.12700955578664,84.55657209173658
261,35.32165825214493,67.2752070875683,84.936313856501
262,35.35405699150152,67.29309223263965,85.14957468249216
263,35.48976123802309,67.3758140536001,85.37631038896083
264,35.57716276161598,67.51374954848461,85.66726239633235
265,35.6486509582335,67.66795227462434,85.90979453368361
266,35.815836355558105,67.74492257819358,86.1187096255565
267,35.86390008519849,67.8688949726094,86.42874602466419
268,35.89629882455508,67.8688949726094,86.64571955004988
269,35.92869756391168,67.93045919327056,86.87315765899608
270,35.96109630326828,68.15596339169713,87.11884301877598
271,36.052278044372265,68.3107345588487,87.41428447593367
272,36.12562346786636,68.388459814617,87.71358466557662
273,36.15802220722296,68.43732425457841,87.97611323108445
274,36.34390847688729,68.59589874943809,88.3277515258959
275,36.4667322695468,68.72166808582719,88.58439708626895
276,36.62485238003376,68.83768522493378,88.84102362641553
277,36.72766784431417,68.95275422985357,89.15686580993318
278,36.90065722502808,69.06107014481647,89.41888854513805
279,36.99905308171263,69.14980547249814,89.73641879773135
280,37.13606612814823,69.35634178650096,89.962480835444
281,37.2250160150503,69.39976271712415,90.28090692963636
282,37.38564730591774,69.47601117774903,90.64328188042228
283,37.52011651351289,69.59302761130391,90.9051236681867
284,37.58895441695589,69.71559845945103,91.13853270827585
285,37.69489469950472,69.82593961647972,91.4413351553187
286,37.72729343886132,69.88624099830591,91.68759620038662
