Time(Iteration),EpsilonGreedyLinearBandit,UpperConfidenceBoundLinearBandit,ThompsonSamplingLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit
69,13.772300807888707,10.87625141280392,11.654899451495925,12.522267186533103,17.703160739387506,25.17525258984212,20.2010044145265
70,13.924122942820148,10.88142653283429,11.677007263680034,12.68247089938278,17.86219952626616,25.517620366755178,20.288807774231316
1416,82.57984699682544,12.231006604977562,14.98727877237619,90.85372749665979,62.345557517600334,76.99175683628238,51.65283182436413
71,14.056267256821808,10.891068869305645,11.690289984149091,12.789843681017269,17.975354456617023,25.78148374457847,20.338657177343674
1417,82.62050764099922,12.231531050812478,14.98727877237619,90.88199752245092,62.34642199330153,76.99670474767258,51.66866148959407
72,14.244825073455269,10.900711205776998,11.724261786346702,12.905396154576744,18.047693543837617,26.051731866430167,20.434250635433266
73,14.3916112807163,10.906333416667675,11.729131908657957,13.031687487106774,18.191519692037975,26.33847126290509,20.64075068933209
1418,82.64263564580406,12.232055496647394,14.98727877237619,90.89770605965501,62.355124848199196,77.03738307766321,51.673813637283445
74,14.479935518764805,10.910843926140743,11.737282802128727,13.04530804890652,18.379293421989683,26.682694509944913,20.720026398871163
1419,82.76011055404965,12.232579942482312,14.989352397841648,90.94987917739499,62.38109664613116,77.03738307766321,51.67869474218712
75,14.530441478695423,10.91535443561381,11.75258120335106,13.223023601893976,18.59658500218294,26.90884615408376,20.867594559304347
76,14.677744989356878,10.919864945086877,11.779678899449747,13.331605573020857,18.670981850584077,27.1724173536945,20.980560522938116
77,14.76377252139775,10.924375454559945,11.787829792920517,13.487198874315485,18.839091303462688,27.459541488416562,21.064365674674693
78,14.849438182361041,10.928885964033011,11.828614130766335,13.505411643607127,19.013008696645805,27.802854408856668,21.230753358815125
79,14.968322201256418,10.933396473506079,11.851622998829239,13.52362441289877,19.18936238674791,28.155069217903794,21.445774296104418
1420,82.76446721311841,12.23320451736078,14.989352397841648,90.95050375227345,62.39489798902379,77.10022652561614,51.685846338413896
1421,82.76882387218717,12.233728963195698,14.989452526885202,90.9511283271519,62.429735523760215,77.10022652561614,51.68647091329236
1422,82.77318053125593,12.234253409030615,14.989552655928756,90.95175290203038,62.43831062778192,77.12604829910832,51.70027225618499
80,15.043218421126264,10.937906982979147,11.856493121140494,13.729815830457474,19.207932386514667,28.508170377083935,21.512023839860866
81,15.21228829855493,10.949565000203778,11.883481966605574,13.860437995310841,19.297232001890624,28.7838219327381,21.63438735138551
1423,82.7775371903247,12.23477785486553,14.989552655928756,91.00152492455489,62.469061073202894,77.12657274494323,51.7312339336389
82,15.259513487326032,10.952845771363293,11.888352088916829,13.922794657312746,19.38554689786443,28.972741093410082,21.731264280513575
83,15.306738676097135,10.957356280836361,11.901634809385886,13.968798889792248,19.482694136220896,29.313317953069486,21.78431783110441
1424,82.86729353453957,12.235302300700448,14.99007710176367,91.00214949943334,62.46940110306919,77.12657274494323,51.7548782015633
84,15.502188887675725,10.961866790309427,11.921525418100115,14.073554430262055,19.693234764062073,29.631661459594472,21.88497153750471
1425,82.87165019360833,12.235826746535365,14.990177230807225,91.0650201785889,62.469741132935475,77.14873163210179,51.76878029682564
85,15.657132890555136,10.978014009824296,11.947661668333907,14.387490552412814,19.81515574675065,29.96629984709951,22.012750034558465
86,15.79966552152876,10.981294780983811,11.960944388802965,14.495352836151891,19.89919513429834,30.12232095709386,22.047273891959943
1426,82.9119023291869,12.236351192370282,14.990801805685695,91.14454890556128,62.47008116280176,77.1569667062572,51.77908692654377
87,16.08701266086623,10.984575552143326,11.971732280552231,14.626023859269688,20.097572483617974,30.380388699094915,22.168999645776513
1427,83.01662920692078,12.236875638205198,14.990801805685695,91.21911816681778,62.47042119266805,77.18225712523216,51.77908692654377
88,16.285836915958008,10.987856323302841,11.976602402863486,14.744236924127529,20.2213595308442,30.701320004720696,22.268458584893498
1428,83.02098586598956,12.237400084040114,15.02370119132907,91.31193350714722,62.470761222534335,77.18225712523216,51.80295805703044
89,16.33306210472911,10.991137094462356,11.978682984334542,15.00680899492058,20.339198645330704,31.05778561299494,22.47842472009491
90,16.539331488449143,10.994417865621873,11.998573593048771,15.095701731842151,20.548803378202926,31.338164062215277,22.701410014970303
1429,83.09191908525587,12.237924529875032,15.024225637163985,91.36121563123177,62.47110125240063,77.18288170011063,51.817614200571576
91,16.62883601592811,11.005775456919288,12.031125299840273,15.181154906324888,20.709827295456446,31.550138881869223,22.80018280566909
92,16.78016456136786,11.009056228078803,12.046423701062608,15.387181714963523,20.863471800463405,31.782565520176455,22.98541300972597
1430,83.12730274939129,12.238448975709948,15.024225637163985,91.36184020611023,62.47506811439407,77.191244525142,51.82176547853364
93,16.93176660600673,11.012336999238318,12.091414778633254,15.5317707703605,20.95953214920366,32.09581282423075,23.26212723667647
94,17.145726371637668,11.049349153322726,12.096284900944509,15.616802002002895,21.055614196713154,32.30147683748883,23.384991725132632
1431,83.13165940846005,12.238973421544866,15.024225637163985,91.38861184393872,62.504126496546824,77.19288007974478,51.82583246957064
95,17.331102511861694,11.053859662795793,12.104435794415279,15.688162955737056,21.20742191343802,32.52366655162108,23.53069141353206
96,17.43220530645594,11.074736645249699,12.109305916726534,15.827280528475189,21.513312724294774,32.69891591456291,23.68034327925712
97,17.524328598254804,11.079247154722767,12.11138649819759,16.049241134052938,21.6536119838022,33.08785187825602,23.734700560317023
1432,83.13601606752881,12.239497867379782,15.041304361791779,91.38923641881719,62.534363289042815,77.22133262302256,51.85108323630916
1433,83.14037272659758,12.240022313214698,15.042853541422323,91.45669302235396,62.566235636141585,77.2333763599386,51.85466348473708
98,17.65491196830886,11.083757664195833,12.11953739166836,16.31012706936093,21.835082897933663,33.27416459831979,23.80299774994471
