Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundLinearBanditTheta,LinTSTheta
345,0.5708762865765864,0.6643439200988601,0.7556670374615204
346,0.5709532890968723,0.6643325699377238,0.7556481146070835
347,0.5710205498228312,0.6643678599410379,0.7556598351058035
348,0.5708776060378612,0.6643877157403525,0.7556669892273724
349,0.5708824372387822,0.6645090862127673,0.7557337138392586
350,0.5708719388036533,0.6644093107886825,0.7556829254682743
351,0.5708796076047141,0.6644061630915943,0.7556884609917437
352,0.5709229157460074,0.6644408054130226,0.755705893023702
353,0.5709052678504779,0.6643952093835516,0.7556799098429077
354,0.5708409582774434,0.6643764845028325,0.755667732892482
355,0.5710739883520204,0.6643489109833224,0.7556442192113125
356,0.5710634905029865,0.6643550434318615,0.7556468347249072
357,0.5710537703253051,0.6643527006631472,0.7556498312016119
358,0.5710877659431208,0.6643626139230345,0.7556644281531181
359,0.5710759138981331,0.6642706439384907,0.755605954180779
360,0.5710993337653563,0.6643900858989349,0.755676341144756
361,0.5710360305871721,0.6643766221048126,0.7556692731143044
362,0.5710167778447415,0.6645201050063225,0.7557382105643035
363,0.5710509682909343,0.6645319732835506,0.7557533283932243
364,0.5710468319700291,0.6644723004447324,0.7557065809653862
365,0.5709664159688114,0.6645458893029252,0.7557282647915345
366,0.5709676140935519,0.664528347876377,0.7557266732314867
367,0.5709795573967473,0.664484819902779,0.7557145819965685
368,0.5709687732647125,0.664454533189851,0.755692830102521
369,0.5710001280224768,0.6644268296914457,0.7556813545758059
370,0.5709706630860557,0.664332185345398,0.7556273225482792
371,0.570944266114887,0.6642952181358439,0.7555816387642716
372,0.5709015796495583,0.664216761394681,0.7555577660555379
373,0.5708988936284599,0.6642552046933304,0.7555668177249207
374,0.570853139127353,0.6642936277611466,0.7555927334103943
375,0.5708097716153774,0.6643687049996885,0.7556234723314994
376,0.570773945054615,0.664316081829605,0.7555859404020868
377,0.5707632263601186,0.6642057300403671,0.7555228983012094
378,0.5707603469049188,0.6642737290520434,0.7555772945966402
379,0.5707644671583004,0.6642793700334501,0.7555854275741372
380,0.5705473057496591,0.6643245841693587,0.7556067879338987
381,0.5704400077137833,0.6644661010858878,0.7556650406789798
382,0.5704721583035509,0.6644493145390428,0.7556526348072945
383,0.5704840721514218,0.6645038786322119,0.7556687447463688
384,0.5704973196006111,0.664451784864335,0.7556223041357947
385,0.5705006539286513,0.6644538824804715,0.755614199687567
386,0.5705157555969516,0.6644684102944134,0.7556125396047882
387,0.5703596303900049,0.6645555786060144,0.7556602036457537
388,0.5703749572370413,0.6644762994104917,0.7556042757200421
389,0.5703946021789149,0.6645004281537197,0.755616894595485
390,0.5703894294836996,0.6644737532291204,0.7556087176947542
391,0.5703950146775945,0.6644410647687274,0.7555755474401019
392,0.5704588001534281,0.6644286563068249,0.7555739126036201
393,0.5704487927649565,0.6644114221026098,0.7555597287451166
394,0.5704005300492268,0.6644305671469597,0.7555751221306553
395,0.5702406882841821,0.6644648568482834,0.7555844676358484
396,0.5702467884617248,0.6644407921084033,0.7555734657662755
397,0.5702089621635528,0.6644685050783348,0.7555940221818822
398,0.5702320718769708,0.6644424108976943,0.7555740369173545
399,0.5702091601822173,0.6645083768885077,0.755617611587456
400,0.5702263945594698,0.6645763345859431,0.7556550130762855
401,0.5702307932478827,0.6645705823125725,0.7556555605334763
402,0.5702197126862892,0.664640095807438,0.755707208130364
403,0.5702298814672506,0.6646228491254654,0.7556966533343086
404,0.5702286636248366,0.6645112192762165,0.7556496796452884
405,0.5702163928355836,0.6644577360866162,0.7556188137330092
406,0.5701967538889623,0.6644591295442333,0.7556263796498467
407,0.5702968435111665,0.6644726218026947,0.7556225860691905
408,0.5702893132241169,0.6644189417331455,0.75560551205082
409,0.5703105470348241,0.6643275294361628,0.7555609703183196
410,0.5702326580816098,0.664418367227358,0.7556107354062879
411,0.570271926362993,0.6644015051690326,0.7555904231382977
412,0.5702615916318327,0.6644834059030943,0.7556296406702827
413,0.5702914580532823,0.6644341442543704,0.7555962600290255
414,0.5703264611695291,0.664380240979689,0.7555684289465154
415,0.5703482050799769,0.6643136723554548,0.7555337683095475
416,0.5703528122661075,0.6642962094294281,0.7555213047437196
417,0.5703762997903389,0.6642492920466985,0.7555007156091575
418,0.5703675107232833,0.6643300570271975,0.7555407083010988
419,0.5703658029373441,0.6643530687459778,0.7555426512136277
420,0.5703143347758667,0.6643269514162164,0.7555321511720189
421,0.5702983821918517,0.664273881493995,0.7555062021187366
422,0.5700655709593445,0.6642588459541561,0.7554981996548802
423,0.5701236303594526,0.6642203712726806,0.7554737071006546
424,0.5699946269468423,0.6642867427994028,0.7555106214230075
425,0.5700274959631987,0.6642266156155738,0.7554711181394597
426,0.5700808622263938,0.6641623296249475,0.755422788137408
427,0.5700582885236061,0.6641494909302397,0.7554098732128549
428,0.5702485902409279,0.6641381811623608,0.7554060997574931
429,0.5702051947911112,0.6641333248046399,0.7553976912819829
430,0.5701815878065866,0.6641122171040161,0.7553857952536883
431,0.570009105203099,0.6640349255723497,0.7553521049711629
432,0.5700252128742567,0.6640785319370426,0.7553701932517305
433,0.5701663152315679,0.6641021813572249,0.7553646887358696
434,0.5701685498630676,0.6640311582651495,0.7553367042130638
435,0.5701710655463743,0.6638668030081483,0.7552648738935869
436,0.570205916933688,0.6638443261232236,0.7552513420244251
437,0.5702022609773445,0.6638912764113004,0.7552614214486595
438,0.5702089595761913,0.663940063121841,0.7552930052311481
439,0.5702469732119952,0.6639622402481474,0.7552976463590084
440,0.570245807216477,0.6639007058036424,0.7552655179477453
441,0.5701988079940425,0.6638550351637147,0.7552380107961527
442,0.5701436082104366,0.6638513371548905,0.7552295762893687
443,0.5701426263484526,0.6637773557182806,0.7551969017067168
444,0.5700890980338464,0.6637788869108965,0.755192223304352
445,0.5700798609719,0.663770643270899,0.7551794131768436
446,0.5700823555557468,0.6638952886905513,0.7552506822323768
447,0.5700385549331332,0.6639336406277307,0.755279875692668
448,0.5701662971723209,0.6639736346003486,0.7552945872418723
449,0.5701603136442517,0.6639458884312505,0.7552770994775055
450,0.5701741752853258,0.6638835904385747,0.7552579641782231
451,0.5701866645773974,0.6638701525682652,0.7552428046779514
452,0.57015901287194,0.6639740188381459,0.7552943600909929
453,0.5701338964327718,0.6640383520899211,0.7553373133470249
454,0.570480631961306,0.6640464962001732,0.7553370794679697
455,0.5704056375762154,0.6639894002282241,0.7553060123898385
456,0.5703767198868523,0.6640476830459521,0.7553275110364509
457,0.5703547168251527,0.6640289492266849,0.7553109755819952
458,0.5703711973981971,0.664030293420278,0.7553052719832765
459,0.5703833823968851,0.6639590040917274,0.7552699562963067
460,0.5703585349097464,0.6639603762016063,0.7552677874539614
461,0.5703562471987109,0.6639207884002898,0.7552531087614771
462,0.5703639233166358,0.6639920580460414,0.755281878590435
463,0.5703817328627349,0.6639939074140496,0.75528326704216
464,0.5703712904369165,0.6640368737386486,0.7553009570394453
465,0.5703582068871215,0.663961340167092,0.755269835918958
466,0.5703671475693795,0.6639620259271541,0.7552804945803577
467,0.5703719349718448,0.6639150595610148,0.7552539044843403
468,0.5703651278910908,0.6639264196053367,0.7552638100496968
469,0.5703199979979052,0.6639239815875453,0.7552570650077342
470,0.5702907900595675,0.6639255510188253,0.7552693938529341
471,0.570294347124704,0.6639328334603911,0.7552638530708042
472,0.5702654348957086,0.6639318291661148,0.7552599660162611
473,0.5702807117339139,0.6638613406268928,0.7552246417687987
474,0.5702979422361875,0.6639324651196821,0.7552562122682296
475,0.5705538317089858,0.6639609008850863,0.7552792221913148
476,0.5705454949306655,0.6640177733032349,0.7553040401850253
477,0.5705574367021842,0.6639807537639991,0.7552864482632481
