Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
311,39.78984371237421,39.4714005477205,18.294224833278022,7.657929511759525
312,39.78984371237421,39.4714005477205,18.358115812001436,7.657929511759525
313,39.78984371237421,39.4714005477205,18.364751994566426,7.657929511759525
314,39.973731732445415,39.54142668220997,18.37138817713141,7.657929511759525
315,39.973731732445415,39.54806286477496,18.476218200377655,7.657929511759525
316,39.973731732445415,39.61938411096489,18.476218200377655,7.657929511759525
317,39.973731732445415,39.723089607326735,18.476218200377655,7.657929511759525
318,40.078561755691666,39.8635396794556,18.541227349204146,7.657929511759525
319,40.35497234156777,39.8635396794556,18.54786353176913,7.657929511759525
320,40.62288617741793,39.8635396794556,18.589810446464572,7.657929511759525
321,40.709235043415404,39.920546449112344,18.653453398686306,7.657929511759525
322,40.709235043415404,39.920546449112344,18.66008958125129,7.657929511759525
323,40.71587122598039,39.979983786852166,18.66008958125129,7.657929511759525
324,40.862070233776635,39.979983786852166,18.66008958125129,7.657929511759525
325,40.862070233776635,40.222522542199904,18.66672576381628,7.657929511759525
326,40.862070233776635,40.26446945689534,18.66672576381628,7.657929511759525
327,40.862070233776635,40.30641637159078,18.673361946381267,7.657929511759525
328,40.862070233776635,40.30641637159078,18.673361946381267,7.657929511759525
329,40.98758528758635,40.43298282676154,18.679998128946252,7.664565694324511
330,40.98758528758635,40.43298282676154,18.679998128946252,7.664565694324511
331,40.98758528758635,40.474929741456975,18.686634311511238,7.664565694324511
332,40.98758528758635,40.737456710374985,18.74607164925106,7.664565694324511
333,41.06424760464081,40.737456710374985,18.7880185639465,7.664565694324511
334,41.444640816370885,40.79446348003173,18.794654746511487,7.664565694324511
335,41.57120727154164,41.012898025895254,18.794654746511487,7.664565694324511
336,41.84237473640864,41.012898025895254,18.801290929076472,7.664565694324511
337,42.04778640940901,41.148858539642504,18.807927111641458,7.664565694324511
338,42.151491905770854,41.24917842059945,18.807927111641458,7.664565694324511
339,42.151491905770854,41.24917842059945,18.807927111641458,7.664565694324511
340,42.228509579081425,41.35400844384569,18.93344216545117,7.664565694324511
341,42.228509579081425,41.35400844384569,19.065593401825865,7.664565694324511
342,42.31770181722092,41.39841039514772,19.07222958439085,7.664565694324511
343,42.389023063410846,41.58093221861418,19.14355083058078,7.664565694324511
344,42.46034430960078,41.7045921027172,19.14355083058078,7.664565694324511
345,42.46034430960078,41.7045921027172,19.14355083058078,7.671201876889498
346,42.53037044409025,41.83010715652691,19.14355083058078,7.671201876889498
347,42.71073290913953,41.83010715652691,19.150187013145764,7.671201876889498
348,42.782054155329455,41.93493717977315,19.15682319571075,7.671201876889498
349,42.971460187862576,41.93493717977315,19.15682319571075,7.671201876889498
350,42.971460187862576,42.00625842596308,19.15682319571075,7.671201876889498
351,42.971460187862576,42.04820534065852,19.16345937827574,7.671201876889498
352,42.971460187862576,42.173720394468226,19.170095560840725,7.671201876889498
353,42.971460187862576,42.23761137319164,19.17673174340571,7.671201876889498
354,43.0308975256024,42.23761137319164,19.17673174340571,7.671201876889498
355,43.164987952412844,42.23761137319164,19.17673174340571,7.671201876889498
356,43.22887893113626,42.51311867255504,19.17673174340571,7.671201876889498
357,43.37022631181566,42.61794869580128,19.183367925970696,7.671201876889498
358,43.57876183142375,42.62458487836627,19.190004108535682,7.671201876889498
359,43.714722345171,42.66653179306171,19.190004108535682,7.671201876889498
360,43.77172911482775,42.80249230680896,19.190004108535682,7.671201876889498
361,43.83010208108925,42.80249230680896,19.190004108535682,7.671201876889498
362,43.887108850746,42.91951600834699,19.190004108535682,7.671201876889498
363,43.887108850746,43.125731948024516,19.19664029110067,7.671201876889498
364,44.02119927755645,43.125731948024516,19.19664029110067,7.671201876889498
365,44.07820604721319,43.125731948024516,19.19664029110067,7.671201876889498
366,44.07820604721319,43.18410491428602,19.19664029110067,7.671201876889498
367,44.07820604721319,43.32455498641488,19.32610376332996,7.671201876889498
368,44.07820604721319,43.32455498641488,19.32610376332996,7.730639214629319
369,44.34522257451282,43.429385009661125,19.458254999704657,7.730639214629319
370,44.45005259775906,43.73850217902334,19.464891182269646,7.730639214629319
371,44.45005259775906,43.913898846822875,19.464891182269646,7.730639214629319
372,44.567076299297085,43.913898846822875,19.464891182269646,7.730639214629319
373,44.567076299297085,44.17215922295306,19.471527364834632,7.730639214629319
374,44.567076299297085,44.17215922295306,19.471527364834632,7.730639214629319
375,44.747799468969504,44.17215922295306,19.471527364834632,7.730639214629319
376,44.747799468969504,44.229165992609815,19.478163547399618,7.730639214629319
377,45.02567135257284,44.28860333034963,19.484799729964603,7.807656887939889
378,45.08404431883435,44.51760008107257,19.484799729964603,7.807656887939889
379,45.17987273953884,44.5620020323746,19.526746644660044,7.807656887939889
380,45.322469435851076,44.61900880203135,19.60376431797061,7.807656887939889
381,45.482982920180504,44.86316437052206,19.60376431797061,7.807656887939889
382,45.586688416542344,44.869800553087046,19.60376431797061,7.807656887939889
383,45.65671455103182,45.00055913701679,19.66077108762736,7.807656887939889
384,45.76154457427806,45.112025342828034,19.66077108762736,7.807656887939889
385,45.967531222514786,45.112025342828034,19.66077108762736,7.807656887939889
386,45.967531222514786,45.316141904127946,19.66077108762736,7.807656887939889
387,46.0930462763245,45.39315957743852,19.66077108762736,7.849603802635327
388,46.150053045981245,45.61311039950776,19.66077108762736,7.849603802635327
389,46.150053045981245,45.61311039950776,19.66077108762736,7.849603802635327
390,46.208426012242754,45.61311039950776,19.66077108762736,7.849603802635327
391,46.208426012242754,45.738625453317475,19.66740727019235,7.953309298997174
392,46.208426012242754,45.80251643204089,19.674043452757335,7.9952562136926115
393,46.25037292693819,45.94393330459384,19.674043452757335,7.9952562136926115
394,46.3758879807479,45.98833525589587,19.68067963532232,7.9952562136926115
395,46.3758879807479,46.18918946618864,19.722626550017758,7.9952562136926115
396,46.51633805287676,46.26620713949921,19.722626550017758,7.9952562136926115
